[UGV-MPC]
[time: set_angle, angle_feedback, set_speed, speed, x, x_ref, y, y_ref, yaw, yaw_ref]=
10.786:0;-0;0;-0;-21.3934;0;-0.0263397;0;0.0532325;0
10.886:-3.72853;-0;0.9;-0;-21.3934;-19.4496;-0.0263397;0;0.050824;0
10.986:-5.52384;-0;0.9;-0;-21.3934;-19.4496;-0.0263397;0;0.0585209;0
11.086:-7.24152;-0;0.9;-0;-21.3934;-19.4496;-0.0263397;0;0.0544368;0
11.186:-7.71339;-0;0.9;-0;-21.3934;-19.4496;-0.0263397;0;0.0462861;0
11.286:-7.3487;-0;0.9;-0;-21.3934;-19.4496;-0.0263397;0;0.0375595;0
11.386:-5.73554;-0;0.9;-0;-21.3934;-19.4496;-0.0263397;0;0.0039619;0
11.486:-2.07007;-0;0.9;-0;-21.3934;-19.4496;-0.0263397;0;-0.0327773;0
11.586:2.18801;-0;0.9;-0;-21.3934;-19.4496;-0.0445456;0;-0.0526042;0
11.686:7.13376;-0;0.9;-0;-21.3934;-19.4496;-0.0445456;0;-0.0720472;0
11.786:11.2413;-0;0.9;-0;-21.3934;-19.4496;-0.0445456;0;-0.0833744;0
11.886:14.3999;-0;0.9;-0;-21.3934;-19.4496;-0.0445456;0;-0.0862542;0
11.986:16.1348;-0;0.9;0;-21.3934;-19.4496;-0.0445456;0;-0.068766;0
12.086:13.3573;-1;0.9;0.1;-21.3934;-19.4496;-0.0445456;0;-0.0421672;0
12.186:13.3573;-3;0.9;0.1;-21.3193;-19.4496;-0.0445456;0;-0.0105069;0
12.287:8.95613;-5;0.9;0.2;-21.2081;-19.4496;-0.0445456;0;0.0408233;0
12.386:2.88781;-7;0.9;0.3;-21.1339;-19.4496;-0.0445456;0;0.0928341;0
12.486:-3.92569;-7;0.9;0.4;-21.1339;-19.4496;-0.0445456;0;0.136136;0
12.586:-10.7913;-6;0.9;0.5;-20.9301;-19.4496;-0.0445456;0;0.182527;0
12.686:-22.1536;-4;0.9;0.6;-20.9301;-19.4496;-0.0445456;0;0.202022;0
12.786:-22.1536;-2;0.9;0.7;-20.7447;-19.4496;-0.0809573;0;0.216403;0
12.886:-23.6629;-0;0.9;0.8;-20.7447;-19.4496;-0.0809573;0;0.216351;0
12.986:-24.4349;3;0.9;0.9;-20.7447;-19.4496;-0.0809573;0;0.208165;0
13.086:-24.3172;5;0.9;0.9;-20.4112;-19.4496;-0.117369;0;0.191306;0
13.186:-20.2186;9;0.9;1;-20.3;-19.4496;-0.153781;0;0.170362;0
13.286:-10.7333;12;0.9;1;-20.2073;-19.4496;-0.153781;0;0.142506;0
13.386:-10.7333;13;0.9;1.1;-20.2073;-19.4496;-0.153781;0;0.123639;0
13.486:-7.231;12;0.9;1.1;-20.0034;-19.4496;-0.171987;0;0.0973719;0
13.586:-3.03875;10;0.9;1.1;-20.0034;-19.4496;-0.171987;0;0.0788365;0
13.686:-0.0686907;7;0.9;1.1;-20.0034;-19.4496;-0.171987;0;0.056252;0
13.786:2.68459;3;0.9;1.1;-19.8181;-19.4496;-0.153781;0;0.0381704;0
13.889:4.54198;-0;0.9;1.1;-19.7069;-19.4496;-0.153781;0;0.0262498;0
13.99:6.0794;-4;0.9;1.1;-19.7069;-19.4496;-0.153781;0;0.018675;0
14.091:7.17554;-9;0.9;1.1;-19.5587;-19.4496;-0.135575;0;0.0174009;0
14.186:7.33675;-14;0.9;1.1;-19.466;-19.3992;-0.117369;0;0.0217643;0
14.286:6.77831;-18;0.9;1;-19.4289;-19.3992;-0.117369;0;0.0362505;0
14.386:6.0414;-21;0.9;1;-19.3548;-19.2985;-0.117369;0;0.0560251;0
14.486:5.10001;-19;0.9;0.9;-19.3177;-19.2481;-0.0991632;0;0.0730246;0
14.586:3.51732;-18;0.9;0.9;-19.2066;-19.2481;-0.0809573;0;0.0859924;0
14.686:1.795;-15;0.9;0.8;-19.2066;-19.1473;-0.0809573;0;0.0994314;0
14.786:-0.972384;-11;0.9;0.8;-19.1139;-19.0465;-0.0627514;0;0.105872;0
14.886:-0.972384;-9;0.9;0.8;-19.1139;-19.0465;-0.0627514;0;0.112417;0
14.986:-1.99782;-5;0.9;0.8;-18.9842;-19.0465;-0.0627514;0;0.115349;0
15.086:-2.23332;-1;0.9;0.8;-18.91;-18.845;-0.0809573;0;0.113289;0
15.186:-2.23332;0;0.9;0.8;-18.91;-18.845;-0.0809573;0;0.112609;0
15.286:-2.07347;4;0.9;0.9;-18.7432;-18.845;-0.0991632;0;0.107111;0
15.386:-0.0982064;7;0.9;0.9;-18.595;-18.5426;-0.117369;0;0.100863;0
15.486:-0.0982064;7;0.9;0.9;-18.595;-18.5426;-0.117369;0;0.0953299;0
15.586:0.678879;6;0.9;0.9;-18.4653;-18.3915;-0.135575;0;0.093986;0
15.686:1.61199;5;0.9;0.9;-18.4653;-18.3915;-0.135575;0;0.0908269;0
15.786:2.20436;3;0.9;0.8;-18.3541;-18.3915;-0.153781;0;0.0915774;0
15.886:3.06529;1;0.9;0.8;-18.3541;-18.2907;-0.153781;0;0.0910713;0
15.986:3.54332;0;0.9;0.8;-18.3541;-18.2907;-0.153781;0;0.090792;0
16.086:3.80783;-1;0.9;0.8;-18.3541;-18.2907;-0.153781;0;0.0983668;0
16.186:3.69898;-2;0.9;0.8;-18.1502;-18.0891;-0.153781;0;0.103777;0
16.286:3.51686;-2;0.9;0.8;-18.1502;-18.0891;-0.153781;0;0.114302;0
16.386:3.11028;-2;0.9;0.8;-18.0761;-18.0891;-0.153781;0;0.123098;0
16.486:2.72018;-1;0.9;0.8;-18.0761;-18.0388;-0.153781;0;0.130254;0
16.586:2.30554;-1;0.9;0.8;-18.0205;-17.9884;-0.153781;0;0.136939;0
16.686:1.9122;-0;0.9;0.8;-17.8722;-17.9884;-0.153781;0;0.145787;0
16.786:1.41061;0;0.9;0.8;-17.8722;-17.8372;-0.153781;0;0.146189;0
16.886:1.42426;1;0.9;0.8;-17.724;-17.686;-0.171987;0;0.149871;0
16.986:1.42426;2;0.9;0.9;-17.724;-17.686;-0.171987;0;0.153903;0
17.086:1.46093;2;0.9;0.9;-17.5942;-17.686;-0.171987;0;0.155998;0
17.186:1.32136;3;0.9;0.8;-17.5016;-17.4341;-0.190193;0;0.157132;0
17.286:1.70151;3;0.9;0.8;-17.5016;-17.4341;-0.190193;0;0.161391;0
