[x_ref,y_ref,yaw_ref]
8.54454,6.82039,-1.44403
8.54772,6.7954,-1.44403
8.5509,6.77041,-1.44403
8.55409,6.74542,-1.44403
8.55727,6.72044,-1.44403
8.56046,6.69545,-1.44403
8.56364,6.67046,-1.44403
8.56683,6.64547,-1.44403
8.57001,6.62049,-1.44403
8.5732,6.5955,-1.44403
8.57638,6.57051,-1.44403
8.57957,6.54552,-1.44403
8.58275,6.52054,-1.44403
8.58594,6.49555,-1.44403
8.58912,6.47056,-1.44403
8.59231,6.44557,-1.44403
8.59549,6.42059,-1.44403
8.59867,6.3956,-1.44403
8.60186,6.37061,-1.44403
8.60504,6.34562,-1.44403
8.60823,6.32064,-1.44403
8.61141,6.29565,-1.44403
8.6146,6.27066,-1.44403
8.61778,6.24567,-1.44403
8.62097,6.22069,-1.44403
8.62415,6.1957,-1.44403
8.62734,6.17071,-1.44403
8.63052,6.14572,-1.44403
8.63371,6.12073,-1.44403
8.63689,6.09575,-1.44403
8.64008,6.07076,-1.44403
8.64326,6.04577,-1.44403
8.64644,6.02078,-1.44403
8.64963,5.9958,-1.44403
8.65281,5.97081,-1.44403
8.656,5.94582,-1.44403
8.65918,5.92083,-1.44403
8.66237,5.89585,-1.44403
8.66555,5.87086,-1.44403
8.66874,5.84587,-1.44403
8.67192,5.82088,-1.44403
8.67511,5.7959,-1.44403
8.67829,5.77091,-1.44403
8.68148,5.74592,-1.44403
8.68466,5.72093,-1.44403
8.68785,5.69595,-1.44403
8.69103,5.67096,-1.44403
8.69422,5.64597,-1.44403
8.6974,5.62098,-1.44403
8.70058,5.596,-1.44403
8.70377,5.57101,-1.44403
8.70695,5.54602,-1.44403
8.71014,5.52103,-1.44403
8.71332,5.49604,-1.44403
8.71651,5.47106,-1.44403
8.71969,5.44607,-1.44403
8.72288,5.42108,-1.44403
8.72606,5.39609,-1.44403
8.72925,5.37111,-1.44403
8.73243,5.34612,-1.44403
8.73562,5.32113,-1.44403
8.7388,5.29614,-1.44403
8.74199,5.27116,-1.44403
8.74517,5.24617,-1.44403
8.74835,5.22118,-1.44403
